Startup,Industry,Technology,Region,Employee count,Total funding €,Website
DIFFEREND BUSINESS SOLUTIONS - ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Travel / Hospitality / Leisure,"Blockchain, Other, Software, Web or Mobile Application",Attica,8,67K
DIGIHART,Advertising & Marketing (AdTech),"Cloud Computing, Data Analytics - Big Data, IoT, Web or Mobile Application",Attica,3,-
DIGISEC S.A.,"Environment & Energy (GreenTech, CleanTech)","AI, Cloud Computing, IoT, Robotics",Attica,12,-
Digital Commerce Intelligence Pte Ltd,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Software",North Aegean,8,1.2M
Digital Culture Monuments DCM IKE,Travel / Hospitality / Leisure,"AR/VR, Software, Web or Mobile Application",Attica,2,-
DNA SEQUENCE SRL HELLAS,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Sensors, Software",Central Macedonia,22,906K
DO IT FOR ME IKE,Advertising & Marketing (AdTech),"Software, Web or Mobile Application",Thessaly,15,-
DOCANDU,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Other, Software, Web or Mobile Application",Attica,16,180K
DOCTOR NEAR YOU ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Diagnostic/Imaging",Crete,2,-
DoctorNext2Me,"Life Sciences (MedTech, HealthTech, BioTech)","Data Analytics - Big Data, Software, Web or Mobile Application",Attica,2,440K
DOMX ΙΚΕ,"Environment & Energy (GreenTech, CleanTech)","Data Analytics - Big Data, Hardware, IoT, Web or Mobile Application",Central Macedonia,8,-
DOULEUTARAS COM LIMITED GREEK BRANCH,Other,Other,Attica,50,2.3M
DPLAN IKE,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software",Central Macedonia,4,-
DRASYS BIO P.C.,"Environment & Energy (GreenTech, CleanTech)",Cleantech,Western Greece,7,-
Dreadbox,Advertising & Marketing (AdTech),"Hardware, Software",Attica,8,-
DRY CLEANING DELIVERY PC,Advertising & Marketing (AdTech),"AI, IoT, Software",Attica,7,-
drybulkx,Data Analytics - Big Data,"AI, Data Analytics - Big Data",Attica,10,-
DS - INNOVATIVE APPLICATIONS & SERVICES PRIVATE COMPANY,Mobility,"IoT, Software, Web or Mobile Application",Attica,4,1M
Dynasoft,Other,"Software, Web or Mobile Application",Crete,6,95K
e-cleaning,Advertising & Marketing (AdTech),"Software, Web or Mobile Application",Attica,-,130K
e-Fresh.gr SMPC,RetailTech – E-Commerce - FashionTech,"Data Analytics - Big Data, IoT, Robotics, Web or Mobile Application",Attica,34,-
E-SATISFACTION SA,Other,"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,12,460K
Ecoresources Private Company,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Nanotech, Other, Sensors",Central Macedonia,5,200K
eCredit P.C.,FinTech – Financial Services (WealthTech),Web or Mobile Application,Attica,3,75K
EdenCore Technologies Private Company,AgriTech / FoodTech,"AI, Data Analytics - Big Data, Diagnostic/Imaging, Software",Attica,6,-
Edutailors,EduTech - Education,Software,Attica,4,225K
eftase IKE,Logistics & Transportation,"Other, Web or Mobile Application",Thessaly,-,-
EIGHT BELLS LTD ΥΠΟΚΑΤΑΣΤΗΜΑ ΕΛΛΑΔΑΣ (GREEK BRANCH),Other,"Hardware, IoT, Sensors, Software",Attica,20,1.21M
Embneusys PC,"Real Estate (PropTech, Construction)","Hardware, IoT",Central Macedonia,3,-
EMC pc (ΜΑΓΙΚΕΣ ΔΙΑΔΡΟΜΕΣ ΗΠΕΙΡΟΥ ΙΚΕ),Travel / Hospitality / Leisure,"Other, Web or Mobile Application",Epirus,4,79K
EMDOT ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,Other,"AI, Cloud Computing, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,12,100K
Emphasis DigiWorld SA,Manufacturing,"AI, Cloud Computing, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,15,-
EMT TECHNOLOGIES P.C.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Other, Sensors, Software, Web or Mobile Application",Attica,2,-
ENALOS RD,"Environment & Energy (GreenTech, CleanTech)",Cleantech,Attica,9,300K
Enchatted IKE,EduTech - Education,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, IoT, Software, Web or Mobile Application",Central Macedonia,6,-
ENERGY CONSULTING & APPLICATIONS P.C. (ENERCA),"Environment & Energy (GreenTech, CleanTech)","AI, Blockchain, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Sensors, Software, Web or Mobile Application",Central Macedonia,2,-
Startup,Industry,Technology,Region,Employee count,Total funding €,Website
ENFORGE PC,Manufacturing,"AI, Data Analytics - Big Data, Other, Software, Web or Mobile Application",Attica,3,-
Engineers For Business S.A.,AgriTech / FoodTech,"Blockchain, Cloud Computing, Drones, IoT, Robotics, Sensors, Software, Web or Mobile Application",Central Macedonia,5,-
ENGINIUS IKE,Advertising & Marketing (AdTech),"AR/VR, Blockchain, Cloud Computing, Networks, Sensors, Software, Web or Mobile Application",Attica,3,45K
Enios Applications PC,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Software",Attica,5,-
ENNEAS IKE,"Art, Cultural & Creative Industries","3D Printing, AI, AR/VR, Data Analytics - Big Data, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,8,-
ENTELECHY,Data Analytics - Big Data,"AI, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Networks, Other, Software",Attica,1,-
eNVy softworks,"Entertainment/Media (Games, Sports, Social)","AR/VR, IoT, Other, Sensors, Software, Web or Mobile Application",Western Greece,8,18K
